ID,Name,Site,rotation,Soil,Position,Frost,Feeding,Companions,Spacing,Sow,Notes,Harvesting,Troubleshooting
69,Convolvulus,/plants/us-and-canada/how-to-grow-convolvulus/,Miscellaneous ●,"Fertile, well-drained soil.",Full sun.,"Can tolerate light frosts in warm climates, where convolvulus can be grown as a short-lived perennial.","Mix a light application of a balanced organic fertilizer into the soil prior to planting. In midsummer, drench plants with a liquid plant food to stimulate new growth.","Lavender, Rosemary and Portulaca. Convolvulus can grow into somewhat floppy plants that benefit from close company with plants that produce lush foliage, such as parsley or ageratum.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Soak the hard seeds in water overnight before planting indoors, and keep the seeded pots warm. In areas with long summers, convolvulus can be sown directly into beds after the last frost has passed. 
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","This flower is capable of blooming for six weeks in late summer. The plants look best when planted in groups. Color options include blue, white, and pink.","Snip off spent blossoms to keep plants looking neat, and to prolong flowering.","This species can reseed in hospitable climates, but the annual form (Convolvulus tricolor) is not invasive."
70,Coreopsis,/plants/us-and-canada/how-to-grow-coreopsis/,Miscellaneous ●,"Fertile, well-drained soil.",Full sun.,None. Annual coreopsis cannot tolerate cold temperatures.,Mix a light application of a balanced organic fertilizer into the soil prior to planting. Annual coreopsis needs less fertilizer and water compared to other flowers.,"Lettuce and Pomegranate. The narrow, airy plants rise up suddenly in late summer, making them great replacements for early season bloomers. Annual coreopsis is an excellent flower to grow in wildflower meadows.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Sow seeds in moist seed starting mix indoors, or wait until after the last frost has passed and plant seeds where you want the plants to grow.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",The bicolored blooms of coreopsis attract butterflies and beneficial insects.,"Snip off spent blossoms to keep plants looking neat, and to prolong flowering. Tall plants benefit from staking.","Be patient with this wildflower, which blooms in late summer and fall. Plants will reseed themselves with a little encouragement."
71,Corn,/plants/us-and-canada/how-to-grow-corn/,Miscellaneous ●,"Warm, well-drained soil enriched with composted manure or other rich compost.",Full sun.,No.,"Needs more nitrogen than other vegetables. Mix an organic fertilizer into the soil before planting, following label application rates. When tassels form, feed plants second time.","Beans, Dill, Marigold, Sunflower, Cucumber, Melon, Peas and Squash.","Single Plants: 1' 1"" (35cm) each way (minimum)
Rows: 11"" (30cm) with 1' 5"" (45cm) row gap (minimum)","Wait until the soil is warm to sow sweet corn. Soak seeds in water overnight before planting them 1 inch deep and 6 inches apart. Thin to 12 inches apart when the plants are 6 inches tall.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Plant in blocks of at least 15 plants, all the same variety, to insure good wind pollination. Keep well watered in dry spells.","Sweet corn is ready when the ears feel firm and full when grasped, and a test kernel pierced with a fingernail released milky juice. Harvest in the morning, and promptly refrigerate ears to help them hold their delicate sugars.",Corn earworms often feed in ear tips. Snap off the damaged part as you husk your sweet cork. Sweet corn germinates poorly in cold soil.
72,Cornflower,/plants/us-and-canada/how-to-grow-cornflowers/,Miscellaneous ●,Any good garden soil.,Full sun.,"Young cornflower seedlings can tolerate freezing temperatures, so seeds can be planted in early spring, or in the fall where winters are mild.",Fast growth is encouraged by mixing a balanced organic fertilizer into the soil before planting.,"Wheat, Oats and Crimson Clover. Cornflowers have an upright posture that helps them fit in tight spaces. Intersperse throughout the garden, as cornflower nectar is unusually sweet, and thus a preferred food source for many beneficial insects.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 7"" (20cm) with 7"" (20cm) row gap (minimum)","Sow cornflowers from early to mid spring for early summer bloom. Also sow in fall in climates with mild winters. Plant seeds in soil or in containers about 2 inches (5 cm) apart and one-half inch (1 cm) deep. Thin to 8 inches (20 cm) apart in all directions.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Rice-size cornflower seeds are much loved by goldfinches and other small seed-eating birds.,"Cornflowers make good cut flowers. Pull up the plants in mid to late summer, when they no longer look attractive.","Cornflowers may be nibbled by rabbits, especially in early spring when other food is scarce."
73,Cosmos,/plants/us-and-canada/how-to-grow-cosmos/,Miscellaneous ●,Any sunny site with good drainage.,Full sun to partial afternoon shade.,"Seedlings tolerate light frosts, but plants are killed by freezing temperatures.",Mix a light application of a balanced organic fertilizer into the soil prior to planting.,"Dill, Agastache and Echinacea. Tall varieties can form a colorful hedge that attracts bees and other pollinators, and mix well with tall herbs like dill and fennel.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 7"" (20cm) with 7"" (20cm) row gap (minimum)","Sow cosmos in early spring so the plants can become established before hot weather comes.  Cosmos also can be started indoors in containers and set out when the seedlings have at least five leaves, or purchased as bedding plants. Plant seeds in prepared soil about 2 inches (5 cm) apart and one-half inch (1 cm) deep. Thin to 8 inches (20 cm) apart in all directions for dwarf varieties; allow 12 inches (30 cm) between very tall varieties.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Varieties vary greatly in height, color and flower form. Choose dwarf varieties for tight spaces.  Sulphur cosmos (C. sulphureus) thrives in humid heat.",Cosmos make good cut flowers. Pull up the plants and compost them when blooms become few or freezing weather is expected.,"In some climates, cosmos planted in spring may not come into full bloom until days become short in early autumn."
74,Cotton,/plants/us-and-canada/how-to-grow-cotton/,Miscellaneous ●,Rich soil enriched with plenty of compost.,Full sun.,Cannot tolerate frost.,"Mix a balanced organic fertilizer into the soil before planting cotton. In midsummer when flowering begins, topdress with more fertilizer or drench with a liquid plant food.","Basil, Garlic, Cilantro, Mint, Sage, Dill, Onion, Onions and Sunflower.","Single Plants: 1' 11"" (60cm) each way (minimum)
Rows: 1' 5"" (45cm) with 3' 3"" (1.00m) row gap (minimum)","Sow directly when the soil is warm. In cooler climates start seed indoors and transplant out after the last frost, being careful not to disturb the roots. Water very well before planting.

	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Cotton thrives on heat, but does not respond well to overwatering. In cool climates, grow individual cotton plants in large, dark-colored containers to increase root warmth.","Harvest after bolls split open, during a period of dry weather. Cut cotton on long stems and dry in bunches, like herbs.","Night-flying beetles often chew holes in cotton leaves, but this problem is mostly cosmetic."
75,Cranberry,/plants/us-and-canada/how-to-grow-cranberries/,Miscellaneous ●,"Moist, boggy, acid soil. Ideally, a mixture of sand and acidic organic matter.",Grow in prepared beds that can be kept very moist or flooded. Bushes can be grown along the pond’s edge in  sun or partial shade.,"Cranberries tolerate extreme cold, but blossoms are subject to cold damage in spring.","Mulch with acidic compost to keep soil constantly moist. For the first three years after planting, topdress the root zone with a balanced organic fertilizer in spring.",Blueberry. Rhododendrons and azaleas.,"Single Plants: 1' 11"" (60cm) each way (minimum)
Rows: 1' 11"" (60cm) with 1' 11"" (60cm) row gap (minimum)","Plant in a water-retentive spot by a pond or stream, above the water line, or in a bog-like bed in a low area. 
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Water only with rainwater. Cranberries will bear for decades.,"Begin harvesting three years after planting. Harvest when fruits are red and ripe, but before they have been damaged by hard freezes.",Grows best in acid soil with a pH of 4.0 to 5.5.
76,Cress,/plants/us-and-canada/how-to-grow-cress/,Miscellaneous ●,Almost any soil type.,Most locations.,"Yes, tolerates mild frosts.",Not required.,Chives and Mint.,"Single Plants: 3"" (10cm) each way (minimum)
Rows: 3"" (10cm) with 3"" (10cm) row gap (minimum)","Sow direct into the soil from early spring onwards or indoors during winter.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",An easy salad crop to grow.,Harvest as required while seedlings are still small.,< Back to All Plants
77,Crimson Clover,/plants/us-and-canada/how-to-grow-crimson-clover/,Legumes (Pea and Bean family) ●,Any well drained soil.,Full sun.,"In the US, crimson clover is hardy to Zone 6. Established plantings made in early fall can tolerate temperatures to 0F (-18 C) or slightly colder.","When using crimson clover to improve very poor soil, mixing a balanced organic fertilizer into the soil before planting will give better results. Using inoculated seed can also help to grow a vigorous stand.",Cornflower and Broccoli. Often planted with hardy annual flowers including bachelor buttons and corn poppies.,"Single Plants: 3"" (10cm) each way (minimum)
Rows: 3"" (10cm) with 3"" (10cm) row gap (minimum)","Sow in late summer so that plants can become established before cold weather comes. In cold climates, crimson clover can be planted in early spring instead of fall. Broadcast seed into cultivated soil so that the seeds are about 2 inches (5 cm) apart and one-half inch (1 cm) deep. No thinning is required.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Crimson clover is one of the most beautiful cover crops you can grow.,"Take down plants just as the red tops begin to fade, but before the plants produce mature seeds. The easiest method is to slice plants off at the soil line with a sharp hoe. They can then be turned under or composted. Nitrogen nodules left behind in the soil add fertility.","Crimson clover plants become quite tough as they age, but they seldom regrow when cut off at the soil line."
78,Crocus,/plants/us-and-canada/how-to-grow-crocus/,Miscellaneous ●,Average garden soil with excellent drainage.,"Full sun in late winter, partial shade in summer.",Excellent. Most crocuses are hardy to -25F (-32C).,"Topdress with rich compost in spring, when new growth appears. When given too much fertilizer, crocuses may form thick stands that do not bloom well.","Snowdrop. Crocuses are wonderful little bulbs to naturalize in grass beneath deciduous trees, or to plant in groups near entryways. Scatter them in small groups along a woodland edge. Crocuses combine well with scillas and early-blooming daffodils.","Single Plants: 3"" (10cm) each way (minimum)
Rows: 3"" (10cm) with 3"" (10cm) row gap (minimum)","Set out dormant bulbs from late summer to early winter, planting them 3in (8cm) deep.  Spacing can be as close as 2in (5cm) between crocus bulbs, which look best when planted in groups of seven or more.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Crocuses are considered harbingers of spring. The flowers close at night and on rainy days.,"Seeds can be gathered and re-sown in early summer. Established clumps can be dug and moved in the fall, but are best left undisturbed.","Crocuses needs a period of winter chilling, and will not persist long in warm climates. Varieties classified as C. tommasinianus are not tempting to deer."
79,Crowder Peas,/plants/us-and-canada/how-to-grow-crowder-peas/,Legumes (Pea and Bean family) ●,"Any average, well drained soil.",Full sun.,No. Crowder peas are semi-tropical plants that crave warm growing conditions.,"When using crowder peas to improve very poor soil, mixing a balanced organic fertilizer into the soil before planting will give better results.",Cosmos and Celosia. Other heat-tolerant summer-blooming annuals.,"Single Plants: 5"" (15cm) each way (minimum)
Rows: 5"" (15cm) with 1' 1"" (35cm) row gap (minimum)","Sow in summer, when the soil is warm. Crowder peas will not germinate in cold soil.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Crowder peas are a good nitrogen-fixing summer cover crop for warm climates, where the vegetable seasons are sharply divided by a period of hot weather.","Pull up or turn under plants any time after they are about 4 weeks old, but before they develop pods.",Rarely bothered by pests or diseases when grown in warm weather.
80,Cucumber,/plants/us-and-canada/how-to-grow-cucumber/,Cucurbits (Squash family) ●,Well-drained soil enriched with plenty of compost.,Full sun.,No.,Drench with a liquid organic fertilizer when plants begin to bloom heavily.,"Nasturtium, Lettuce, Radish, Tomato, Dill, Tansy, Marigold, Oregano, Sunflower and Beans.","Single Plants: 1' 11"" (60cm) each way (minimum)
Rows: 1' 11"" (60cm) with 1' 11"" (60cm) row gap (minimum)","Easily grown from seeds sown directly in the ground, or start seeds indoors and set plants out when they are 3 weeks old.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Use a trellis to save space, or you can let cucumbers ramble over mulched ground.",Pick cucumbers at least every other day by snipping them from the vine with pruning shears. Many varieties are extremely productive. Fruits with hard seeds inside are overripe.,Cucumber beetles transmit an incurable disease called bacterial wilt. Exclude them with floating rowcovers.
81,Cuphea,/plants/us-and-canada/how-to-grow-cuphea/,Miscellaneous ●,"Fertile, well-drained soil or roomy containers.",Full sun.,"Can tolerate light frosts in warm climates, where cuphea can be grown as a short-lived perennial.","Mix a light application of a balanced organic fertilizer into the soil prior to planting. In midsummer, drench plants with a liquid plant food to stimulate new growth.","Combine with other annuals that attract hummingbirds, such as salvias.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 7"" (20cm) with 11"" (30cm) row gap (minimum)","Sow cuphea seeds in moist seed starting mix and keep them warm until the seeds germinate. Most gardeners buy cuphea plants, which often are grown from rooted cuttings. Allow 12 inches (30cm) between taller varieties.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",This is a great summer flower for areas with hot summers.,"Snip off older branches in midsummer to keep plants looking neat, and to prolong flowering.",Japanese beetles are fond of cuphea foliage.
82,Daffodil,/plants/us-and-canada/how-to-grow-daffodil/,Miscellaneous ●,Average garden soil with excellent drainage.,"Full sun in spring, sun to partial shade in summer.",Excellent. Most daffodils are hardy to -25F (-32C); cold tolerance varies with species.,"Topdress with rich compost in spring, when new growth appears. Fertilize established clumps with a balanced organic fertilizer in the fall.",Allium. The earliest daffodils bloom before most other flowers and shrubs. Planting daffodils behind daylilies or other summer-blooming perennials hides the fading daffodil foliage from view.,"Single Plants: 5"" (15cm) each way (minimum)
Rows: 3"" (10cm) with 5"" (15cm) row gap (minimum)","Set out dormant bulbs from late summer to early winter. Cover the bulbs to four times their depth with loose soil. Allow 4in (10cm) between bulbs of miniature daffodils, and 6in (15cm) between taller varieties.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Daffodils are the best spring-flowering bulbs to grow as perennials. Yellow and white are the most common flower colors.,"Cut daffodils to use as cut flowers when the buds are full and almost ready to open. They will continue to open indoors for several days. As the flowers fade in the garden, trim them off with scissors or pruning shears.","Daffodils have few pest problems and are seldom eaten by deer. Large, double-flowered varieties are prone to falling over when the blossoms get heavy with rain."
83,Dahlia,/plants/us-and-canada/how-to-grow-dahlia/,Miscellaneous ●,"Rich, fertile soil with excellent drainage.",Full sun.,"None. Dahlia foliage is killed by frost, and roots are hardy only to about 15F (-9C).","Topdress with rich compost in early summer, after new growth appears. Fertilize with a liquid fertilizer in midsummer to support strong re-blooming.","Mint, Thyme, Cilantro, Rosemary, Geranium, Gladiolus and Echinacea. The bushy plants will crowd any close neighbors. Tall varieties that require staking should be grown behind smaller plants. Dwarf dahlias can be mixed with Asiatic lilies or re-blooming roses.","Single Plants: 1' 11"" (60cm) each way (minimum)
Rows: 1' 7"" (50cm) with 1' 11"" (60cm) row gap (minimum)","Dahlias are often sold as dormant crowns consisting of several connected tubers. Prepare a wide planting hole dug to at least 12 inches (30 cm) deep, and generously enrich the holes with rich compost and a balanced organic fertilizer. Spread out the tubers and plant them 3 inches (8 cm) deep. A few weeks later after the first stems emerge, hill up a little soil around the base of the plant and begin summer mulching. Allow 24in (60cm) between tall dahlias. Small dwarf varieties can be planted 12in (30cm) apart.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Dahlias will bloom all summer when provided with regular water and fertilizer. The color range is endless, and flower size can be large or small, depending on variety.","Dahlias make excellent cut flowers, so they should be easily accessible.  Cut dahlias for arrangements as soon as the blossoms open, preferably in early morning. Immediately plunge the stems into warm water. As the flowers fade in the garden, trim them off with scissors or pruning shears.","Numerous insects and diseases can plague dahlias. Promptly trim off badly damaged branches, and use insecticidal soap to manage thrips and whiteflies if necessary."
84,Daylily,/plants/us-and-canada/how-to-grow-daylily/,Miscellaneous ●,"Fertile, well-drained soil.",Full sun to partial afternoon shade.,"Good. Cold tolerance varies with variety, and the hardiest daylilies can survive temperatures to -25F (-32C).","Topdress established daylilies with rich compost in early spring, after new growth appears. Fertilize with a liquid fertilizer in midsummer to support strong re-blooming.","Coreopsis. Daylilies are often planted among clumps of daffodils, tulips or other spring-flowering bulbs to hide the fading bulb foliage.","Single Plants: 1' 11"" (60cm) each way (minimum)
Rows: 1' 7"" (50cm) with 1' 11"" (60cm) row gap (minimum)","Prepare a wide planting hole dug to at least 12in (30cm) deep, and generously enrich the hole with rich compost and a balanced organic fertilizer. Spread out the tubers and plant them so the top of the crown is just below the soil line. Allow 24in (60cm) between plants, which will grow into large clumps in a few short seasons. Daylilies can be planted closer when you are using them to cover a slope. 
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Many newer daylilies will re-bloom all summer when provided with regular water and fertilizer. Daylilies with dark red blossoms often do best with slight afternoon shade.  The buds of most old-fashioned daylilies are edible.,"Even though the individual blossoms last only one day, daylilies make interesting cut flowers. Mature buds will continue to expand and open after the stems are cut. As the flowers fade in the garden, trim them off with scissors or pruning shears.",Daylilies are often eaten by deer. Slugs can be a problem in spring in mulched plantings.
85,Dianthus,/plants/us-and-canada/how-to-grow-dianthus/,Miscellaneous ●,Average garden soil with excellent drainage.,Full sun.,"Annual dianthus tolerates light frost with ease, but can be damaged by hard freezes. Where winters are mild, dianthus can be grown as a winter annual.",Encourage fast growth by mixing a balanced organic fertilizer into the soil before planting.,"Thyme and Portulaca. Dianthus combines well with other cold-tolerant annuals including pansies, dusty miller, and ornamental cabbage and kale.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Set out stocky seedlings in early spring, or in fall where winters are mild. 
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Dianthus blooms earlier than other annuals, and well-sited plants may persist for two years in climates with mild winters. Colors include pink, red, lavender, white and many bicolors.","Some varieties have stems long enough for cutting. As flowers fade, snip them off with scissors to keep the plants looking neat.","Both rabbits and deer like to nibble dianthus foliage. In summer, spider mites cause occasional problems and can be controlled with insecticidal soap."
86,Dill,/plants/us-and-canada/how-to-grow-dill/,Umbelliferae (Carrot and root family) ●,"Average, well drained soil amended with compost.",Full sun.,Seedlings may need protection from light frosts. Cannot tolerate hard freezes.,Drench with a liquid organic fertilizer when plants are 4 inches tall.,"Cucumber, Corn, Lettuce, Zinnia, Cabbage, Brussels Sprouts, Cauliflower, Collards, Broccoli and Tomato.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 5"" (15cm) with 9"" (25cm) row gap (minimum)","Start seeds indoors in individual containers, or sow seeds outdoors half an inch deep and 2 inches apart. Gradually thin seedlings to proper spacing, and eat your thinnings. Older seedlings are difficult to transplant successfully.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Young dill leaves are the herb known as dill weed. Dill flowers and seeds are used in making breads and pickles.,Gather and dry leaves when plants are 10 inches tall. Use a paper bag to harvest seeds when they change from green to tan and fall freely from their umbels.,Large plants may be blown over by gusty storms. Stake if necessary.
87,Dusty Miller,/plants/us-and-canada/how-to-grow-dusty-miller/,Miscellaneous ●,"Fertile, well-drained soil.",Full sun to partial shade.,"Dusty miller tolerates light frost with ease, but can be damaged by hard freezes. Where winters are mild, dusty miller can be grown as a winter annual or short-lived perennial.","Mix a light application of a balanced organic fertilizer into the soil prior to planting. In midsummer, drench plants with a liquid plant food to stimulate new growth.","Petunia and Verbena. The luminous silvery leaves of dusty miller make it a valuable neutral plant for separating bright colors, or framing showy shrubs like roses. Dwarf types make good edging plants for beds and containers.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 7"" (20cm) with 11"" (30cm) row gap (minimum)","Sow tiny dusty miller seeds atop moist seed starting mix and gently press them into the surface. Most gardeners buy dusty miller seedlings, which are widely available as bedding plants. Allow 12 inches (30cm) between tall varieties such as ‘Silver Lace’.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Dusty miller plants that survive winter produce clusters of small yellow flowers in spring. The flowers are usually clipped off to encourage the plants to develop new leaves. The light-catching gray foliage of dusty miller makes it a good choice for areas used in the evening.,"Snip off blossoms and old leaves to keep plants looking neat. In fall, gather and dry perfect leaves before the plants are damaged by freezing weather.",Too much water or very high humidity can occasionally lead to problems with diseases.
88,Echinacea,/plants/us-and-canada/how-to-grow-echinacea/,Miscellaneous ●,Rich soil with a near neutral Ph.,"Full sun in cool climates, partial afternoon shade where summers are very hot.",Echinacea is a hardy perennial that survives very cold winters. Plants become dormant in winter and re-emerge in spring.,Spread rich compost over the dormant plants each winter.,"Monarda. Echinacea’s purple blossoms contrast well with pink, yellow or orange flowers.","Single Plants: 1' 1"" (35cm) each way (minimum)
Rows: 11"" (30cm) with 1' 3"" (40cm) row gap (minimum)","Start seeds indoors in late winter and set out seedlings, or start with purchased plants. Echinacea often does not bloom reliably until its second year in the garden.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Echinacea is grown for its beautiful flowers and for the medicinal properties of teas and tinctures made from roots, leaves and flowers.","Dig plants in early fall to harvest the roots. Small divisions with skimpy root systems can be replanted and allowed to grow for another year.  For enhancing immunity to colds, echinacea tinctures or teas are taken every few hours for several days.","It is not known whether or not colorful new varieties of Echinacea have medicinal properties that compare to older strains, which are preferred by butterflies."
89,Edamame,/plants/us-and-canada/how-to-grow-edamame/,Legumes (Pea and Bean family) ●,"Average, well drained soil.",Full sun.,"Warm-season annuals, cannot tolerate frost.","Mix an organic fertilizer into the soil before planting, using rates given on the label. Supplemental fertilizer seldom required.","Marigold, Corn, Squash, Celery, Strawberry, Cucumber and Potatoes.","Single Plants: 9"" (25cm) each way (minimum)
Rows: 7"" (20cm) with 1' 3"" (40cm) row gap (minimum)","Plant seeds 2 inches deep and 6 inches apart in late spring, after the last frost has passed and the soil is warm. Make additional sowings until midsummer.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Edamame are very easy to grow, especially in warm climates. Extra seeds make a good short-term summer cover crop.","Gather pods when they feel well filled with seeds, but are still bright green. Most varieties produce all at once.",Japanese beetles sometimes feed on leaves. Gather them in broad containers of soapy water in the cool of the morning.
90,Eggplant,/plants/us-and-canada/how-to-grow-eggplant/,Solanaceae (Potato and tomato family) ●,"Warm, fertile, and well drained.",Full sun.,A semi-tropical plant; cannot tolerate frost.,"From midsummer onward, drench with a liquid feed every two weeks.","Catnip, Marigold, Beans, Pepper and Tarragon.","Single Plants: 1' 3"" (40cm) each way (minimum)
Rows: 1' 1"" (35cm) with 1' 5"" (45cm) row gap (minimum)","Sow indoors 6 weeks before last spring frost, or buy seedlings in late spring. Transplant to larger pots if needed. Plant out in late spring, when the weather is settled and warm.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Stake plants to keep them from falling over when they become heavy with fruit. Mulch to keep soil lightly moist.,Use pruning shears to cut fruits from the stem. Perfect fruits have shiny skins and only a few immature seeds inside.,Use rowcovers to keep plants warm while protecting them from flea beetles. Remove covers when plants begin blooming so the starry purple flowers can be pollinated by bees.
91,Endive,/plants/us-and-canada/how-to-grow-endive/,Miscellaneous ●,"Rich, moisture-retentive soil with plenty of compost dug in.",Sun preferred but tolerant of some shade.,Yes.,Not usually required.,"Radicchio, Mizuna, Tatsoi and Mustard.","Single Plants: 9"" (25cm) each way (minimum)
Rows: 7"" (20cm) with 11"" (30cm) row gap (minimum)","Sow directly into soil in late spring.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Can blanch a few plants at a time when they are grown by excluding light from them for a few days. This can make them less bitter.,Havest as required by cutting off at base. Will sometimes resprout.,< Back to All Plants
92,Fennel,/plants/us-and-canada/how-to-grow-fennel/,Umbelliferae (Carrot and root family) ●,"Rich, well drained soil generously amended with compost. In clay soil, use raised beds.",Full sun.,"Seedlings are frost tender, but mature plants tolerate light frost.","Feed every 3 weeks with a liquid organic fertilizer, and use a rich, biodegradable mulch such as grass clippings.",Mint.,"Single Plants: 11"" (30cm) each way (minimum)
Rows: 9"" (25cm) with 1' 1"" (35cm) row gap (minimum)","Start seeds indoors, or sow in shallow furrows filled with potting soil. Thin seedlings to 12 inches apart when they are 3 weeks old. Chop the pulled seedlings into salads.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","When the bulb is the size of an egg, surround it with 6 inches of loose mulch to help it plump up.","Snip tender young leaves as needed in the kitchen. When the bulbs reach 3 inches in diameter, pull them and store in the refrigerator.","Grows best in cool weather. In some climates, fennel grows better in fall than in spring."
93,Fennel (Herb),/plants/us-and-canada/how-to-grow-herb-fennel/,Umbelliferae (Carrot and root family) ●,"Fertile, well drained soil.",A sunny spot where fennel’s tall branches will not cause unwanted shade.,"A short-lived hardy perennial, fennel will survive winter temperatures to 0F/-17C.",Not usually required.,"Cosmos. Cucumber, squash, melons, pumpkin and other low, vining plants.","Single Plants: 1' 1"" (35cm) each way (minimum)
Rows: 11"" (30cm) with 1' 3"" (40cm) row gap (minimum)","Start seeds indoors in early spring, or plant them outdoors while the weather is still cool. 
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Fennel flowers attract numerous small beneficial insects.,Gather fennel fronds as you need them in the kitchen. Fennel can reseed to the point of weediness. Gathering and using the blooms as cut flowers will prevent excessive reseeding.,"Prune back fennel plants in mid fall, before cold weather turns the plants to mush."
94,Fenugreek,/plants/us-and-canada/how-to-grow-fenugreek/,Legumes (Pea and Bean family) ●,"Any average, well drained soil.",Full sun to partial afternoon shade.,None. Fenugreek cannot tolerate cold temperatures.,"When using fenugreek to improve very poor soil, mixing a balanced organic fertilizer into the soil before planting will give better results.","Buckwheat, Beans and Crowder Peas.","Single Plants: 5"" (15cm) each way (minimum)
Rows: 5"" (15cm) with 5"" (15cm) row gap (minimum)","Sow fenugreek from late spring to late summer, whenever a bed will be unused for more than eight weeks.  Direct seed into cultivated soil so that the seeds are about 2 inches (5 cm) apart and one-half inch (1 cm) deep. Thin to 6 inches (15 cm) apart in all directions.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","On warm days, fenugreek often emits a fragrance similar to that of maple syrup. It also can be grown as a medicinal herb.","Mow plants before turning them under, or pull them up and compost them if you want to use the spot for planting right away.",Fenugreek rarely has problems with pests and diseases when grown in home gardens.
95,Feverfew,/plants/us-and-canada/how-to-grow-feverfew/,Miscellaneous ●,Any sunny site with good drainage.,Full sun to partial afternoon shade.,"Six-month-old, well rooted plants tolerate winter temperatures to -20F (-29C).  Most individual plants die in their second or third summer, after blooming heavily.","Mix a light application of a balanced organic fertilizer into the soil prior to planting.  When plants emerge after their first winter, mulch with rich compost or topdress with a balanced organic fertilizer.","Mint. Also grown with beds of other tea plants where insects are not wanted. Feverfew repels insects of all nature, so it is a good plant to grow near entryways.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Start seeds indoors in containers in late winter, and set out seedlings in spring. You can also work with purchased seedlings, or lift and move volunteer seedlings found in the garden. Set plants at least 12 inches (30 cm) apart in all directions. They are easily recognized by their lacy leaves.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Frequent cutting of blossoms helps feverfew stay in bloom longer. Depending on climate, feverfew is a biennial or short-lived perennial.  When seeds are started early, it will bloom its first year.","To harvest for medicinal use, gather when the plants are in full flower but still holding an abundance of greenery. Medicinal preparations are made from a mixture of dried flowers and leaves.","Feverfew can reseed too well in hospitable spaces, so keep an eye on it for invasive tendencies."
